-- NanamiOS SDK record --		

	When working on the OS, place each build record in here.
You update this file when you enter the terminal and perform an
action in the makefile. I should note that you probably should
be using Linux (preferably, Ubuntu Linux or Linux Mint, Mint is
recommended but I'm using Ubuntu Linux 23.04) to do the work on
this OS directly (like the kernel, interrupts, drivers, and the
ISO disc image.

date				ver		target/topic		action
2023 Nov. 14 01:37 PM EST	1.00.27		Roadmap			NanamiOS 1.00 Build 28 may be the target for VGA mode.
2023 Nov. 14 01:36 PM EST	1.00.27		Note			...Oh, and please take that with a grain of salt. I might be screwing the entire build over by this, but it seems the tutorial had errors at the end when this was tested.
2023 Nov. 14 01:34 PM EST	1.00.27		NanamiPCI		Tutorial may have an error, idk, so I put "bar.address" in ...pci.cpp line 85 "dev portBase = (uint32_t bar.address); // ..."
2023 Nov. 14 01:32 PM EST	1.00.27		NanamiKeyboard Driver	Changed command headers and info.
2023 Nov. 14 01:32 PM EST	1.00.27		SuperGuide		Updated content in the SuperGuide.
2023 Nov. 14 07:19 AM EST	1.00.27		General NanamiOS	Updated version pointers.
2023 Nov. 11 03:02 PM EST	1.00.27		Licensing		End-User License Agreement created and finished.
2023 Nov. 09 07:41 AM EST	1.00.26x	Bug Report Details	This bug existing in 26A and 26B is the only bug that I've noticed, there's no triple faults (at least in 26C).
2023 Nov. 09 07:39 AM EST	1.00.27/26x	Patch Details		In NanamiOS 1.00 Builds 26A and 26B, they're SUPPOSED to work (like 26D and 26C respectively), but due to an issue in how I inserted the BIN needed to boot, 26A and 26B try to boot to "shpxkskernel.bin", a non-existent file, when it should be booting to "sphxkskernel.bin". I found the issue when testing both 26A and 26B.
2023 Nov. 09 07:36 AM EST	1.00.27/26x	General NanamiOS	Patched a GRUB issue.
2023 Nov. 09 07:36 AM EST	1.00.26x	General NanamiOS	Composed 26C and 26D compiles.
2023 Nov. 08 09:55 AM EST	1.00.27		General NanamiOS	Reverted comment pins.
2023 Nov. 08 09:55 AM EST	1.00.27		General NanamiOS	Updated version pointers.
2023 Nov. 08 09:52 AM EST	1.00.26x	General NanamiOS	Archived this build.
2023 Nov. 08 09:50 AM EST	1.00.26x	PCI Vendor ID repo	Finished base repo.
2023 Nov. 07 12:42 PM EST	1.00.26x	PCI Vendor ID repo	Added a note to the local vendor id repo.
2023 Nov. 07 12:41 PM EST	1.00.26x	PCI Vendor ID repo	Added 10 vendor IDs to the local repository.
2023 Nov. 07 11:18 AM EST	1.00.26x	Build Docs/Code Record	Update the build documentation for 26A and 26B.
2023 Nov. 07 11:02 AM EST	1.00.26B	NanamiOS ISO File	Renamed this branch's ISO to "NanamiOS_1.00.26B.iso"
