-- NanamiOS SDK record --		

	When working on the OS, place each build record in here.
You update this file when you enter the terminal and perform an
action in the makefile. I should note that you probably should
be using Linux (preferably, Ubuntu Linux or Linux Mint, Mint is
recommended but I'm using Ubuntu Linux 23.04) to do the work on
this OS directly (like the kernel, interrupts, drivers, and the
ISO disc image.

date				ver		target/topic		action
2023 Oct. 31 01:56 PM EST	1.00.20		keyboard.cpp		Added F3 macro-command
2023 Oct. 31 01:47 PM EST	1.00.20		Makefile		Compiled keyboard.o
2023 Oct. 31 01:45 PM EST	1.00.20		NanamiOS_SDK_Record.txt	Changed "target" to "target/topic".
2023 Oct. 31 01:44 PM EST	1.00.20		Makefile		Failed to compile keyboard.o - Missing semicolon!
2023 Oct. 31 01:42 PM EST	1.00.20		NanamiOS_SDK_Record.txt	Added new column, "target".
2023 Oct. 31 01:41 PM EST	1.00.20		keyboard.o		Updated F1 macro-command.
2023 Oct. 31 01:40 PM EST	1.00.20					Added another macro-command to keyboard.o.
2023 Oct. 31 01:33 PM EST	1.00.20					Finished stage 1 of driver.cpp
2023 Oct. 31 01:19 PM EST	1.00.20					Finished stage 1 of driver.h
2023 Oct. 31 01:06 PM EST	1.00.20		Created driver.cpp
2023 Oct. 31 01:05 PM EST	1.00.20		Created driver.h
2023 Oct. 31 01:01 PM EST	1.00.20		Created new directories.
2023 Oct. 31 12:38 PM EST	1.00.20		Updated keyboard.o (version pointers)
2023 Oct. 31 12:38 PM EST	1.00.20		Updated kernel.o (version pointers)
2023 Oct. 31 12:37 PM EST	1.00.20		Changed version pointers.
2023 Oct. 31 12:36 PM EST	1.00.19		Archived this build.
2023 Oct. 31 12:35 PM EST	1.00.19		Fixed the SDK record file as all 12 PM timings were pointing to midnight (12 AM)
2023 Oct. 31 12:35 PM EST	1.00.19		Renamed current nanami_os.iso to "NanamiOS_1.00.19.iso"
2023 Oct. 31 12:34 PM EST	1.00.19		Deleted old nanami_os.iso (NanamiOS_1.00.18.iso)
2023 Oct. 31 12:33 PM EST	1.00.19		Made new "nanami_os.iso" file.
2023 Oct. 31 12:31 PM EST	1.00.19		Built shpxkskernel.bin
2023 Oct. 31 12:31 PM EST	1.00.19		Updated kernel.o
2023 Oct. 31 12:31 PM EST	1.00.19		Updated mouse.o
2023 Oct. 31 11:38 AM EST	1.00.19		Updated version pointers everywhere.
2023 Oct. 31 11:37 AM EST	1.00.18		Archived this build.
2023 Oct. 31 11:36 AM EST	1.00.18		Renamed current nanami_os.iso to "NanamiOS_1.00.18.iso"
2023 Oct. 31 11:35 AM EST	1.00.18		Deleted old nanami_os.iso (NanamiOS_1.00.17.iso)
2023 Oct. 31 11:35 AM EST	1.00.18		Made new "nanami_os.iso" file.
2023 Oct. 31 11:34 AM EST	1.00.18		Built shpxkskernel.bin
2023 Oct. 31 11:34 AM EST	1.00.18		Updated "kernel.o".
2023 Oct. 31 11:32 AM EST	1.00.18		Updated "interrupts.o" to patched version to get mouse driver to work
2023 Oct. 31 11:29 AM EST	1.00.18		Created and finished a manual on how to use the makefile
2023 Oct. 31 11:18 AM EST	1.00.18		Updated interruptstubs.o, which is what I tried to update.
2023 Oct. 31 11:17 AM EST	1.00.18		Attempted to make non-existent file "interruptsstubs.o", stemmed from a spelling error.
2023 Oct. 31 11:14 AM EST	1.00.18		Added headers to CodeRecords.txt
2023 Oct. 31 11:14 AM EST	1.00.18		Added post-archive 1.00.17 code record to 1.00.18 code record file.
2023 Oct. 31 11:13 AM EST	1.00.17		Updated code records.
2023 Oct. 31 11:09 AM EST	1.00.18		Updated version pointers in kernel.cpp and keyboard.cpp
2023 Oct. 31 11:08 AM EST	1.00.18		Updated makefile GRUB info.
2023 Oct. 31 11:06 AM EST	1.00.17		Archived this build.
2023 Oct. 31 11:05 AM EST	1.00.17		Renamed current nanami_os.iso to "NanamiOS_1.00.17.iso"
2023 Oct. 31 11:04 AM EST	1.00.17		Deleted old nanami_os.iso (NanamiOS_1.00.16.iso)
2023 Oct. 31 11:03 AM EST	1.00.17		Made new "nanami_os.iso" file.
2023 Oct. 31 11:03 AM EST	1.00.17		Built shpxkskernel.bin
2023 Oct. 31 11:02 AM EST	1.00.17		Checked kernel.o
2023 Oct. 31 11:02 AM EST	1.00.17		ManualBuildUDC: Checked mouse.o
2023 Oct. 31 11:01 AM EST	1.00.17		ManualBuildUDC: Checked keyboard.o
2023 Oct. 31 11:00 AM EST	1.00.17		Updated interrupts.o
2023 Oct. 31 11:00 AM EST	1.00.17		ManualBuildUDC: Checked interrupts.o
2023 Oct. 31 11:00 AM EST	1.00.17		ManualBuildUDC: Checked gdt.o
2023 Oct. 31 10:57 AM EST	1.00.17		Built mouse.o
2023 Oct. 31 10:52 AM EST	1.00.17		Finished mouse.cpp "InitProto".
2023 Oct. 31 10:01 AM EST	1.00.17		Updated record file formatting.
2023 Oct. 31 10:00 AM EST	1.00.17		Linked mouse.h and kernel.cpp
2023 Oct. 31 09:58 AM EST	1.00.17		Updated makefile.
2023 Oct. 31 09:46 AM EST	1.00.17		Created mouse.h
2023 Oct. 31 09:46 AM EST	1.00.17		Created mouse.cpp
2023 Oct. 31 08:03 AM EST	1.00.17		Updated kernel.o
2023 Oct. 31 08:02 AM EST	1.00.17		Updated keyboard.o
2023 Oct. 31 08:01 AM EST	1.00.16		Archived this build.
2023 Oct. 31 08:00 AM EST	1.00.16		Renamed current nanami_os.iso to "NanamiOS_1.00.16.iso"
2023 Oct. 31 08:00 AM EST	1.00.16		Deleted old nanami_os.iso (NanamiOS_1.00.15.iso)
2023 Oct. 31 07:59 AM EST	1.00.16		Created new nanami_os.iso file.
2023 Oct. 31 07:59 AM EST	1.00.16		Updated shpxkskernel.bin
2023 Oct. 31 07:58 AM EST	1.00.16		Checked kernel.o for updates.
2023 Oct. 31 07:58 AM EST	1.00.16		Updated keyboard.o to latest version.
2023 Oct. 31 07:53 AM EST	1.00.16		Updated record file info.
2023 Oct. 31 07:48 AM EST 	1.00.16		Created record file.
